#,Song,Artist,Notes,Rating
135,On Failure,Aesop Rock,,5
136,Vititus,Aesop Rock,,0
137,Wrap Me Up,Jimmy Fallon & Meghan Trainor,,0
138,Evil Ways (feat. J. Cole),"Drake, J. Cole",,0
139,Don't Mind Me,"Atmosphere, Slug & Ant",,0
140,Traveling Forever,"Atmosphere, Slug & Ant",,0
141,Strawberry Jam,Modern Day Miracle,,0
142,Let Me Calm Down (feat. J. Cole),"Nicki Minaj, J. Cole",,0
143,Home Alone,Bas & J. Cole,,0
144,Drug Trade Pt 2 (feat. Black Thought & Benny The Butcher),"Smoke DZA, Flying Lotus, Black Thought, Benny The Butcher",,0
145,Young Tonight,Plain White T's,,0
146,Would You Even,Plain White T's,,0
147,Red Flags,Plain White T's,,0
148,L-O-V-E,Plain White T's,,0
149,Girl From Pasadena,Plain White T's,,0
150,Happy,Plain White T's,,0
151,Mama’s Basement,CZARFACE,,0
152,Gatecrasher,"CZARFACE, Logic",,0
153,Marvel at That (Road Trip),CZARFACE,,0
154,Lace It,"Juice WRLD, Eminem & benny blanco",,0
