#,Song,Artist,Notes,Rating
94,Checkmate,"Cordae, Hit-Boy",Reminds me of a mix between common and Eminem,0
95,Reaper,"Fashawn, Locksmith",,0
96,What Happens After You?,Weezer,,0
97,Mel Made Me Do It,Stormzy,,0
98,golden hour,JVKE,,0
99,this is what heartbreak feels like,JVKE,,0
100,Crossroads,Cypress Hill,,0
101,No Weapon,"YG, Nas",,0
102,Celestial,Ed Sheeran,,0
103,90 Proof,"Smino, J. Cole",,0
104,Freedom (feat. Locksmith & Stic.man),Sol Messiah,,0
105,"Rhymeslayers (feat. Slug, Aesop Rock & Sa-Roc)",Sol Messiah,,0
106,The Light (feat. Sa-Roc),Sol Messiah,,0
107,Kites (feat. Video Dave & STILL RIFT),Open Mike Eagle,,0
108,Flashbacks (feat. Jeremih),G Herbo,,0
109,Those Days,Nickelback,,0
110,Switch Up,"D Smoke, Davion Farris",,0
111,Popular Demand,Grip,,0
112,Static (feat. Marco Plus),Grip,,0
113,Ain't Ok,Grip,,0
114,EDGING,blink-182,,0
115,Little Things,Dirty Heads,,0
116,The Kids Are All Dying (Live from Abbey Road Studios),FINNEAS,,0
117,Spinning the Truth Around,Blue October,,0
118,"You're On Your Own, Kid",Taylor Swift,,0
119,The Great War,Taylor Swift,,0
120,Anti-Hero (feat. Bleachers),Tavlor Swift,,0
121,Eleanor Rigby (2022 Mix),The Beatles,,0
122,Yellow Submarine (2022 Mix),The Beatles,,0
123,Lift Me Up (From Black Panther: Wakanda Forever),Rihanna,,0
124,FAITHFUL,"Macklemore, NLE Choppa",,0
125,Spread the Opps,Lecrae,,0
126,Still In America,Lecrae,,0
127,Good Lord (feat. Andy Mineo),Lecrae,,0
128,We Did It (feat. PJ Morton),Lecrae,,0
129,A Driver Saved My Night,Sigrid,,0
130,Bad Life (acoustic),"Sigrid, Bring Me The Horizon",,0
131,First Time,Nas,,0
132,Beef,Nas,,0
133,VHS,Andrew McMahon in the Wilderness,,0
134,Built to Last,Andrew McMahon in the Wilderness,,0
135,Billie Jean (2008 Kanye West Mix) [feat. Kanye West] [Thriller 25th A...,Michael Jackson,,0
136,My Presidents Are Black,Stormzy,,0
137,Bad Habit,Steve Lacy,,0
138,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",,0
139,Nobody,half•alive,,0
140,Back Around,half•alive,,0
141,What's Wrong,half•alive,,0
142,Pumpkin Seeds,"Aesop Rock, Blockhead, Lupe Fiasco",,0
143,"Family, Man",gnash,,0
144,Da Rant,Morray,,0
145,"Fade Away (From ""Norah Jones is Playing Along"" Podcast)","Norah Jones, Logic",,0
146,Dear Me (Acoustic),Less Than Jake,,0
147,Hollandaise,Ab-Soul,,0
148,Goodman,"Ab-Soul, Punch",,0
149,Positive Vibes Only,Ab-Soul,,0
150,Oxymoron,Oliver Tree,,0
151,Suitcase Full of Cash,Oliver Tree,,0
152,Nothing Is Lost (You Give Me Strength),The Weeknd,,0
